nombres,apellidos,partido,comuna,comuna,comuna,cargo
DIEGO,MILLA YAÑEZ,INDEPENDIENTES,RIO HURTADO,,,
GERARDO ANDRES,ROJAS ESCUDERO,INDEPENDIENTES,SALAMANCA,,,
AARON ELIU,AGUILERA CORTES,PARTIDO REPUBLICANO DE CHILE,SALAMANCA,,,
VINKA,PUSICH CAMACHO,RENOVACION NACIONAL,SALAMANCA,,,
WILSON,GONZALEZ RAMIREZ,INDEPENDIENTES,SALAMANCA,,,
OMAR,ALAMOS CALDERON,INDEPENDIENTES,SALAMANCA,,,
CARLOS,LILLO ALAMOS,INDEPENDIENTES,SALAMANCA,,,ALCALDE
ALEJANDRO,TELLO ARATA,INDEPENDIENTES,SALAMANCA,,,
ALEJANDRA,HENRIQUEZ CUEVAS,INDEPENDIENTES,SALAMANCA,,,
SILVIO,MATTOS ARAYA,PARTIDO SOCIAL CRISTIANO,VICUÑA,,,
KETHER BAUTISTA,GOMEZ PASTEN,INDEPENDIENTES,VICUÑA,,,
MARIO,AROS CARVAJAL,INDEPENDIENTES,VICUÑA,,,ALCALDE
YERMAN,ROJAS CASTILLO,INDEPENDIENTES,VICUÑA,,,
RODRIGO,ALCAYAGA ROJAS,INDEPENDIENTES,VICUÑA,,,
MARTA,CASTILLO CASTRO,INDEPENDIENTES,VICUÑA,,,
VICTOR,DONOSO OYANEDEL,PARTIDO DEMOCRATA CRISTIANO,CABILDO,,,
GONZALO,MIQUEL WENKE,INDEPENDIENTES,CABILDO,,,
PIERA ROMINA,COLLAO SEGURA,INDEPENDIENTES,CABILDO,,,
PATRICIO,ALIAGA DIAZ,INDEPENDIENTES,CABILDO,,,ALCALDE
NELSON FERNANDO,LAZCANO SILVA,INDEPENDIENTES,CABILDO,,,
JOHNNY,PIRAINO MENESES,INDEPENDIENTES,CALERA,,,ALCALDE
EDUARDO IGNACIO,MARTINEZ MACHUCA,INDEPENDIENTES,CALERA,,,
DINA PATRICIA,GONZALEZ ALFARO,PARTIDO SOCIALISTA DE CHILE,CALLE LARGA,,,ALCALDE
MARCELO,CASTILLO VARAS,INDEPENDIENTES,CALLE LARGA,,,
HECTOR RODRIGO,SILVA TAPIA,INDEPENDIENTES,CALLE LARGA,,,
FRESIA RUTH,QUEZADA CONTRERAS,INDEPENDIENTES,CALLE LARGA,,,
RODRIGO EDUARDO,DIAZ BRITO,INDEPENDIENTES,CATEMU,,,ALCALDE
BORIS,LUKSIC NIETO,INDEPENDIENTES,CATEMU,,,
JOSE RAFAEL,SAAVEDRA IBACACHE,INDEPENDIENTES,HIJUELAS,,,
RAFAEL,PACHECO SOLIS,INDEPENDIENTES,HIJUELAS,,,
VERONICA PAZ MARIA,ROSSAT ARRIAGADA,INDEPENDIENTES,HIJUELAS,,,ALCALDE
PAOLO,SANHUEZA BERETTA,INDEPENDIENTES,LA CRUZ,,,
FILOMENA AIDA,NAVIA HEVIA,PARTIDO SOCIALISTA DE CHILE,LA CRUZ,,,ALCALDE
ROLANDO GONZALO,ARCOS ARREDONDO,INDEPENDIENTES,LA CRUZ,,,
MAITE,LARRONDO LABORDE,UNION DEMOCRATA INDEPENDIENTE,LA CRUZ,,,
ARMANDO ANTONIO,CASTILLO RIQUELME,INDEPENDIENTES,LA LIGUA,,,
FELIPE,HERRERA ROCO,INDEPENDIENTES,LA LIGUA,,,
LORENA CECILIA,DONAIRE CATALDO,FRENTE AMPLIO,LA LIGUA,,,
ANDRES,SOZA REINOSO,UNION DEMOCRATA INDEPENDIENTE,LA LIGUA,,,
SEVERINA,DE GRACIA DE SANCHEZ,INDEPENDIENTES,LA LIGUA,,,
PATRICIO,PALLARES VALENZUELA,INDEPENDIENTES,LA LIGUA,,,ALCALDE
PAOLA JANET,LAZO CHACANA,INDEPENDIENTES,LA LIGUA,,,
ARMANDO AQUILES,TORREALBA ABARCA,INDEPENDIENTES,LA LIGUA,,,
ORIANA,PEREZ PUEBLA,INDEPENDIENTES,LIMACHE,,,
SEBASTIAN ENRIQUE,BALBONTIN BUSTAMANTE,FRENTE AMPLIO,LIMACHE,,,
LUCIANO,VALENZUELA ROMERO,INDEPENDIENTES,LIMACHE,,,ALCALDE
YERKO FABIAN,CHAMORRO SIGDMAN,INDEPENDIENTES,LIMACHE,,,
JOEL ANDRES,GONZALEZ VEGA,INDEPENDIENTES,LIMACHE,,,
AMAL DEL CARMEN,SALEM SOLIS,INDEPENDIENTES,LIMACHE,,,
EDGARDO,GONZALEZ ARANCIBIA,PARTIDO DEMOCRATA CRISTIANO,LLAY-LLAY,,,ALCALDE
MARIO,MARCHANT SILVA,INDEPENDIENTES,LLAY-LLAY,,,
DANIEL,ZAMORA HINOSTROZA,INDEPENDIENTES,LLAY-LLAY,,,
BENIGNO ALEJANDRO,RETAMAL RODRIGUEZ,FEDERACION REGIONALISTA VERDE SOCIAL,LOS ANDES,,,
BONNIE JHOAN ROMILDO,SILVA VILLARROEL,PARTIDO DE LA GENTE,LOS ANDES,,,
MANUEL,RIVERA MARTINEZ,UNION DEMOCRATA INDEPENDIENTE,LOS ANDES,,,ALCALDE
NICOLAS ANTONIO,PIRAZZOLI BORRAS,INDEPENDIENTES,LOS ANDES,,,
JUAN,HERRERA DELGADO,INDEPENDIENTES,LOS ANDES,,,
JONATHAN MOISES,VASQUEZ LEON,PARTIDO COMUNISTA DE CHILE,NOGALES,,,
BERNARDO,BRITO VIDELA,INDEPENDIENTES,NOGALES,,,
LESLIE,PACHECO RAMIREZ,INDEPENDIENTES,NOGALES,,,ALCALDE
RICARDO,ALIAGA CRUZ,INDEPENDIENTES,NOGALES,,,
MARGARITA DE LAS MERCEDES,OSORIO PIZARRO,INDEPENDIENTES,NOGALES,,,
EDWIN,GRIFFITHS GUERRA,INDEPENDIENTES,NOGALES,,,
CARLOS ENRIQUE,DIAZ LILLO,INDEPENDIENTES,NOGALES,,,
WILLIAM ROBERTO,RODRIGUEZ GUZMAN,INDEPENDIENTES,OLMUE,,,
VICENTE,CASELLI RAMOS,PARTIDO REPUBLICANO DE CHILE,OLMUE,,,
NOEMI SUSANA,CACERES ROJAS,INDEPENDIENTES,OLMUE,,,
JORGE ELIAS,JIL HERRERA,INDEPENDIENTES,OLMUE,,,ALCALDE
CRISTIAN,YAÑEZ VERGARA,INDEPENDIENTES,OLMUE,,,
GONZALO,VERGARA LIZANA,INDEPENDIENTES,PANQUEHUE,,,ALCALDE
LUIS REINALDO,PRADENAS MORAN,INDEPENDIENTES,PANQUEHUE,,,
JAIME,AHUMADA ROBLES,PARTIDO DEMOCRATA CRISTIANO,PAPUDO,,,
CLAUDIA,ADASME DONOSO,RENOVACION NACIONAL,PAPUDO,,,ALCALDE
ROSA DE LOURDES,PRIETO VALDES,INDEPENDIENTES,PAPUDO,,,
MARGARITA JESUS,SANDOVAL CARRASCO,INDEPENDIENTES,PAPUDO,,,
IGNACIO GAMALIER,VILLALOBOS HENRIQUEZ,INDEPENDIENTES,PETORCA,,,
GUSTAVO,HENRIQUEZ TOLEDO,INDEPENDIENTES,PETORCA,,,ALCALDE
GUSTAVO FERNANDO,VALDENEGRO RUBILLO,INDEPENDIENTES,PETORCA,,,
ERIKA JEANETTE,GALARCE MELENDEZ,PARTIDO POR LA DEMOCRACIA,PUCHUNCAVI,,,
MARCOS,MORALES URETA,INDEPENDIENTES,PUCHUNCAVI,,,ALCALDE
JUAN CARLOS,GONZALEZ ROMO,INDEPENDIENTES,PUCHUNCAVI,,,
MAURICIO ANTONIO,QUIROZ CHAMORRO,INDEPENDIENTES,PUTAENDO,,,ALCALDE
MIGUEL IGNACIO,ORTIZ HENRIQUEZ,RENOVACION NACIONAL,PUTAENDO,,,
PATRICIO ERNESTO,GONZALEZ NUÑEZ,INDEPENDIENTES,PUTAENDO,,,
GUSTAVO,BERTELSEN MAYOL,INDEPENDIENTES,QUILLOTA,,,
OSCAR RODOLFO,CALDERON SANCHEZ,INDEPENDIENTES,QUILLOTA,,,
LUIS ALBERTO,MELLA GAJARDO,INDEPENDIENTES,QUILLOTA,,,ALCALDE
VALERIA ANDREA,MELIPILLAN FIGUEROA,FRENTE AMPLIO,QUILPUE,,,
CAROLINA,CORTI BADIA,RENOVACION NACIONAL,QUILPUE,,,ALCALDE
MIGUEL ANGEL,BOTTO SALINAS,INDEPENDIENTES,QUILPUE,,,
